purchase_id,student_id,purchase_type,date_purchased
16692,262288,Annual,2022-02-01
16697,261905,Annual,2022-02-02
16698,261608,Quarterly,2022-02-02
16701,259039,Monthly,2022-02-02
16707,262392,Annual,2022-02-02
16708,262406,Annual,2022-02-03
16711,262414,Annual,2022-02-03
16714,262470,Annual,2022-02-03
16722,262237,Annual,2022-02-03
16724,262550,Annual,2022-02-03
16726,262459,Annual,2022-02-04
16727,262599,Annual,2022-02-04
16733,259258,Monthly,2022-02-04
16736,259026,Monthly,2022-02-04
16737,262634,Annual,2022-02-04
16739,262648,Annual,2022-02-04
16741,262641,Annual,2022-02-05
16752,259408,Monthly,2022-02-05
16756,262750,Monthly,2022-02-05
16758,262754,Annual,2022-02-05
16759,262784,Annual,2022-02-05
16761,262792,Monthly,2022-02-05
16763,262596,Monthly,2022-02-06
16764,262643,Quarterly,2022-02-06
16765,262817,Annual,2022-02-06
16766,262821,Monthly,2022-02-06
16775,259534,Monthly,2022-02-06
16777,259305,Monthly,2022-02-06
16778,262826,Annual,2022-02-06
16779,262613,Monthly,2022-02-06
16780,262861,Annual,2022-02-06
16781,262675,Monthly,2022-02-06
16782,262908,Monthly,2022-02-07
16786,259510,Monthly,2022-02-07
16787,261554,Annual,2022-02-07
16788,262944,Annual,2022-02-07
16789,262955,Annual,2022-02-07
16790,262738,Annual,2022-02-07
16791,262967,Monthly,2022-02-07
16792,262992,Monthly,2022-02-07
16793,263000,Annual,2022-02-07
16801,259702,Monthly,2022-02-08
16827,263065,Annual,2022-02-08
16855,263104,Monthly,2022-02-08
16856,263112,Monthly,2022-02-08
16857,263118,Annual,2022-02-08
16858,263120,Annual,2022-02-08
16859,263126,Monthly,2022-02-08
16862,263076,Monthly,2022-02-09
16868,259283,Monthly,2022-02-09
16872,259777,Annual,2022-02-09
16874,262726,Annual,2022-02-09
16876,262988,Annual,2022-02-09
16877,261668,Monthly,2022-02-09
16878,263216,Annual,2022-02-09
16879,262377,Annual,2022-02-09
16880,262973,Quarterly,2022-02-09
16883,263146,Annual,2022-02-10
16888,259965,Monthly,2022-02-10
16890,259860,Monthly,2022-02-10
16895,259938,Monthly,2022-02-10
16896,262819,Annual,2022-02-10
16897,262580,Monthly,2022-02-10
16898,263296,Annual,2022-02-10
16899,263210,Monthly,2022-02-10
16900,261883,Monthly,2022-02-10
16903,263321,Annual,2022-02-11
16904,263087,Annual,2022-02-11
16914,259689,Monthly,2022-02-11
16920,261828,Monthly,2022-02-11
16921,263392,Annual,2022-02-11
16922,263300,Annual,2022-02-12
16927,260180,Monthly,2022-02-12
16933,259865,Monthly,2022-02-12
16934,263231,Annual,2022-02-12
16935,263472,Annual,2022-02-12
16936,263480,Monthly,2022-02-13
16937,263483,Monthly,2022-02-13
16948,259996,Monthly,2022-02-13
16949,263531,Annual,2022-02-13
16950,263535,Annual,2022-02-13
16952,263545,Annual,2022-02-13
16953,263368,Annual,2022-02-13
16954,263364,Monthly,2022-02-13
16955,263564,Annual,2022-02-13
16956,263481,Monthly,2022-02-14
16957,263501,Annual,2022-02-14
16962,260465,Monthly,2022-02-14
16969,260354,Monthly,2022-02-14
16971,260211,Monthly,2022-02-14
16973,258883,Annual,2022-01-01
16974,259070,Annual,2022-01-03
16975,259767,Annual,2022-01-09
16977,262457,Monthly,2022-02-14
16978,261626,Annual,2022-01-26
16979,261644,Annual,2022-01-26
16980,261647,Annual,2022-01-26
16981,261670,Annual,2022-01-26
16982,262297,Annual,2022-02-01
16983,262421,Annual,2022-02-03
16984,262585,Annual,2022-02-03
16985,262677,Annual,2022-02-04
16987,263639,Annual,2022-02-14
16994,263672,Monthly,2022-02-14
16995,263672,Annual,2022-02-14
16998,263692,Annual,2022-02-14
16999,263551,Monthly,2022-02-14
17003,263494,Annual,2022-02-15
17013,260774,Monthly,2022-02-15
17015,263479,Monthly,2022-02-15
17017,263759,Annual,2022-02-15
17018,263776,Annual,2022-02-15
17019,263783,Monthly,2022-02-15
17020,263363,Annual,2022-02-15
17021,263536,Monthly,2022-02-15
17022,263690,Monthly,2022-02-15
17026,263791,Monthly,2022-02-16
17032,260646,Monthly,2022-02-16
17040,263842,Annual,2022-02-16
17042,263293,Annual,2022-02-16
17047,263798,Annual,2022-02-16
17058,261805,Annual,2022-02-17
17062,263933,Annual,2022-02-17
17065,263648,Annual,2022-02-17
17066,260742,Monthly,2022-02-17
17083,263941,Annual,2022-02-17
17086,263942,Monthly,2022-02-17
17096,263913,Monthly,2022-02-17
17106,260885,Monthly,2022-02-18
17107,263388,Annual,2022-02-18
17108,260042,Annual,2022-02-18
17109,264141,Annual,2022-02-18
17110,264076,Monthly,2022-02-18
17112,260356,Monthly,2022-02-18
17124,258930,Monthly,2022-02-19
17125,263496,Annual,2022-02-19
17126,264254,Monthly,2022-02-19
17127,262270,Monthly,2022-02-19
17128,264253,Monthly,2022-02-19
17129,262714,Quarterly,2022-02-20
17130,264290,Annual,2022-02-20
17133,263859,Annual,2022-02-20
17134,263497,Annual,2022-02-20
17139,261073,Monthly,2022-02-20
17146,264323,Annual,2022-02-20
17147,263650,Annual,2022-02-20
17148,264259,Monthly,2022-02-20
17149,263786,Monthly,2022-02-20
17152,263706,Annual,2022-02-21
17153,264391,Monthly,2022-02-21
17164,264417,Monthly,2022-02-21
17165,263920,Annual,2022-02-21
17169,264476,Annual,2022-02-21
17171,264513,Annual,2022-02-21
17179,261228,Monthly,2022-02-22
17183,261212,Monthly,2022-02-22
17189,264118,Annual,2022-02-22
17191,262412,Annual,2022-02-22
17192,264677,Annual,2022-02-23
17193,264679,Annual,2022-02-23
17195,264404,Annual,2022-02-23
17196,264694,Monthly,2022-02-23
17197,264696,Annual,2022-02-23
17198,264081,Monthly,2022-02-23
17208,264514,Monthly,2022-02-23
17209,264761,Monthly,2022-02-23
17210,264472,Monthly,2022-02-23
17211,264746,Monthly,2022-02-23
17214,264549,Annual,2022-02-24
17225,264637,Annual,2022-02-24
17226,264131,Annual,2022-02-24
17227,264916,Annual,2022-02-24
17229,264049,Annual,2022-02-24
17231,264888,Monthly,2022-02-25
17232,264146,Annual,2022-02-25
17241,264400,Annual,2022-02-25
17242,264826,Annual,2022-02-25
17243,264572,Annual,2022-02-25
17245,265044,Annual,2022-02-25
17246,264291,Monthly,2022-02-26
17250,265077,Annual,2022-02-26
17255,261491,Monthly,2022-02-26
17262,265130,Monthly,2022-02-26
17263,263661,Annual,2022-02-26
17264,265106,Annual,2022-02-26
17265,263683,Annual,2022-02-26
17266,264502,Monthly,2022-02-26
17269,265093,Annual,2022-02-27
17272,261724,Monthly,2022-02-27
17274,265201,Annual,2022-02-27
17276,265218,Annual,2022-02-27
17278,264699,Monthly,2022-02-27
17281,265250,Monthly,2022-02-27
17282,265110,Monthly,2022-02-27
17284,265121,Annual,2022-02-28
17285,264361,Monthly,2022-02-28
17306,261995,Monthly,2022-02-28
17316,261466,Monthly,2022-02-28
17323,265339,Annual,2022-02-28
17330,265337,Annual,2022-02-28
17331,264623,Annual,2022-02-28
17332,264425,Annual,2022-02-28
17334,265025,Annual,2022-02-28
17337,265390,Annual,2022-02-28
17338,264909,Annual,2022-02-28
17339,265023,Annual,2022-02-28
17340,265415,Annual,2022-02-28
17341,265418,Annual,2022-02-28
17342,265182,Monthly,2022-02-28
17344,265424,Monthly,2022-02-28
17349,265462,Annual,2022-03-01
17351,265317,Monthly,2022-03-01
17360,262190,Monthly,2022-03-01
17368,265262,Monthly,2022-03-01
17369,265483,Monthly,2022-03-01
17370,265302,Monthly,2022-03-01
17372,265519,Monthly,2022-03-01
17373,265506,Monthly,2022-03-01
17374,265328,Annual,2022-03-01
17375,265572,Annual,2022-03-02
17377,265581,Annual,2022-03-02
17380,259039,Monthly,2022-03-02
17385,265618,Monthly,2022-03-02
17386,265578,Monthly,2022-03-02
17387,262569,Monthly,2022-03-02
17388,263677,Annual,2022-03-02
17391,265714,Annual,2022-03-03
17395,262421,Monthly,2022-03-03
17400,265241,Monthly,2022-03-03
17402,265176,Monthly,2022-03-04
17403,265813,Annual,2022-03-04
17404,265779,Monthly,2022-03-04
17408,259258,Monthly,2022-03-04
17412,262677,Monthly,2022-03-04
17415,259026,Monthly,2022-03-04
17416,264856,Quarterly,2022-03-04
17417,265879,Annual,2022-03-04
17418,265686,Annual,2022-03-04
17420,265902,Monthly,2022-03-04
17421,265918,Annual,2022-03-04
17423,265928,Annual,2022-03-05
17425,259408,Monthly,2022-03-05
17428,262750,Monthly,2022-03-05
17436,262792,Monthly,2022-03-05
17437,258832,Monthly,2022-03-05
17440,265966,Monthly,2022-03-05
17442,265970,Annual,2022-03-05
17443,265878,Monthly,2022-03-05
17444,266001,Monthly,2022-03-06
17445,262596,Monthly,2022-03-06
17446,259534,Monthly,2022-03-06
17452,262821,Monthly,2022-03-06
17457,266045,Annual,2022-03-06
17459,265489,Annual,2022-03-06
17462,266099,Annual,2022-03-06
17464,265789,Annual,2022-03-06
17467,266123,Monthly,2022-03-06
17470,265967,Annual,2022-03-07
17471,266136,Annual,2022-03-07
17472,264732,Monthly,2022-03-07
17475,260861,Annual,2022-03-07
17477,261753,Monthly,2022-03-07
17478,260964,Monthly,2022-03-07
17481,265653,Annual,2022-03-07
17482,264563,Monthly,2022-03-07
17483,262992,Monthly,2022-03-07
17484,266308,Annual,2022-03-07
17485,263693,Monthly,2022-03-07
17486,265449,Annual,2022-03-08
17487,266332,Annual,2022-03-08
17488,259702,Monthly,2022-03-08
17498,266386,Monthly,2022-03-08
17499,266402,Monthly,2022-03-08
17500,261668,Annual,2022-03-08
17501,266325,Monthly,2022-03-08
17502,263104,Monthly,2022-03-08
17503,263112,Monthly,2022-03-08
17504,265588,Annual,2022-03-08
17505,265628,Annual,2022-03-08
17511,266492,Annual,2022-03-09
17512,263076,Monthly,2022-03-09
17521,266529,Annual,2022-03-09
17525,266410,Annual,2022-03-09
17526,266455,Monthly,2022-03-09
17527,266366,Monthly,2022-03-09
17529,262221,Quarterly,2022-03-10
17531,266548,Monthly,2022-03-10
17540,259860,Monthly,2022-03-10
17545,259965,Monthly,2022-03-10
17547,266549,Monthly,2022-03-10
17548,263845,Monthly,2022-03-10
17551,266489,Annual,2022-03-10
17552,266249,Annual,2022-03-10
17553,266693,Annual,2022-03-10
17554,263210,Monthly,2022-03-10
17555,261883,Monthly,2022-03-10
17556,266544,Annual,2022-03-10
17557,266462,Monthly,2022-03-10
17558,266603,Annual,2022-03-10
17559,266615,Monthly,2022-03-10
17560,266485,Annual,2022-03-11
17561,262908,Monthly,2022-03-11
17571,266788,Monthly,2022-03-11
17572,266766,Annual,2022-03-11
17573,266810,Annual,2022-03-11
17574,261828,Monthly,2022-03-11
17575,266875,Annual,2022-03-11
17576,266614,Annual,2022-03-11
17578,266894,Monthly,2022-03-11
17580,266316,Annual,2022-03-12
17586,260180,Monthly,2022-03-12
17588,263529,Annual,2022-03-12
17590,266962,Monthly,2022-03-12
17591,266758,Annual,2022-03-12
17592,266680,Monthly,2022-03-12
17593,266975,Monthly,2022-03-12
17594,267011,Annual,2022-03-12
17595,264687,Annual,2022-03-12
17596,267010,Annual,2022-03-12
17597,263480,Monthly,2022-03-13
17598,263483,Monthly,2022-03-13
17601,259996,Monthly,2022-03-13
17616,267114,Monthly,2022-03-13
17617,265310,Annual,2022-03-13
17619,266106,Annual,2022-03-13
17620,266512,Annual,2022-03-13
17622,266616,Monthly,2022-03-13
17623,263481,Monthly,2022-03-14
17624,266496,Annual,2022-03-14
17625,267174,Annual,2022-03-14
17626,260465,Monthly,2022-03-14
17634,267203,Annual,2022-03-14
17636,266754,Annual,2022-03-14
17637,264552,Monthly,2022-03-14
17638,266095,Monthly,2022-03-14
17639,267254,Monthly,2022-03-14
17640,266108,Annual,2022-03-14
17642,266584,Annual,2022-03-15
17656,267358,Monthly,2022-03-15
17657,263479,Monthly,2022-03-15
17659,267413,Monthly,2022-03-15
17660,267418,Monthly,2022-03-15
17661,263783,Monthly,2022-03-15
17662,267432,Monthly,2022-03-15
17663,263690,Monthly,2022-03-15
17665,267048,Annual,2022-03-16
17668,263791,Monthly,2022-03-16
17677,260646,Monthly,2022-03-16
17689,267546,Monthly,2022-03-16
17692,267496,Annual,2022-03-16
17693,267487,Monthly,2022-03-16
17694,267613,Annual,2022-03-16
17699,267662,Monthly,2022-03-17
17721,267064,Annual,2022-03-17
17723,267558,Annual,2022-03-17
17725,267106,Annual,2022-03-17
17726,263913,Monthly,2022-03-17
17728,261325,Monthly,2022-03-17
17729,266725,Monthly,2022-03-17
17730,261680,Annual,2022-03-17
17734,267721,Monthly,2022-03-18
17735,267778,Monthly,2022-03-18
17736,267765,Annual,2022-03-18
17762,267515,Annual,2022-03-18
17764,267843,Monthly,2022-03-18
17765,267854,Annual,2022-03-18
17767,267026,Annual,2022-03-18
17768,267916,Annual,2022-03-19
17769,267919,Annual,2022-03-19
17770,267930,Monthly,2022-03-19
17784,267443,Monthly,2022-03-19
17786,264254,Monthly,2022-03-19
17787,267812,Monthly,2022-03-19
17788,262270,Monthly,2022-03-19
17790,268045,Monthly,2022-03-20
17792,261073,Monthly,2022-03-20
17799,268011,Annual,2022-03-20
17802,264259,Monthly,2022-03-20
17803,267286,Annual,2022-03-20
17804,267949,Annual,2022-03-20
17807,267168,Annual,2022-03-21
17808,268152,Annual,2022-03-21
17811,264391,Monthly,2022-03-21
17812,268053,Annual,2022-03-21
17826,264417,Monthly,2022-03-21
17831,259491,Annual,2022-03-21
17833,268224,Annual,2022-03-21
17834,268226,Monthly,2022-03-21
17836,263934,Monthly,2022-03-21
17837,267114,Annual,2022-03-21
17840,262203,Annual,2022-03-22
17844,268257,Annual,2022-03-22
17845,264081,Annual,2022-03-22
17847,262761,Annual,2022-03-22
17851,261212,Monthly,2022-03-22
17862,261228,Monthly,2022-03-22
17865,268331,Annual,2022-03-22
17866,268337,Annual,2022-03-22
17868,268346,Annual,2022-03-22
17869,268344,Annual,2022-03-22
17870,268352,Annual,2022-03-22
17871,268373,Annual,2022-03-23
17887,268389,Annual,2022-03-23
17889,268357,Annual,2022-03-23
17892,268408,Annual,2022-03-23
17893,268410,Annual,2022-03-23
17894,268412,Monthly,2022-03-23
17895,264472,Monthly,2022-03-23
17896,268293,Annual,2022-03-23
17898,267643,Annual,2022-03-23
17901,268348,Annual,2022-03-24
17902,267498,Monthly,2022-03-24
17903,268374,Annual,2022-03-24
17920,268461,Annual,2022-03-24
17921,268465,Annual,2022-03-24
17923,267391,Annual,2022-03-24
17924,268113,Monthly,2022-03-24
17925,268473,Annual,2022-03-24
17927,268480,Annual,2022-03-24
17932,264761,Monthly,2022-03-24
17935,268510,Annual,2022-03-24
17937,264888,Monthly,2022-03-25
17938,266012,Annual,2022-03-25
17940,268527,Annual,2022-03-25
17941,268420,Annual,2022-03-25
17942,268511,Annual,2022-03-25
17953,267898,Annual,2022-03-25
17954,268553,Annual,2022-03-25
17955,268558,Annual,2022-03-25
17956,268104,Annual,2022-03-25
17959,261990,Annual,2022-03-25
17960,268572,Annual,2022-03-25
17961,268129,Monthly,2022-03-25
17962,268574,Annual,2022-03-25
17964,268584,Annual,2022-03-25
17965,267195,Monthly,2022-03-25
17967,261724,Annual,2022-03-25
17969,264291,Monthly,2022-03-26
17972,268600,Annual,2022-03-26
17979,261491,Monthly,2022-03-26
17982,268321,Annual,2022-03-26
17986,268147,Annual,2022-03-26
17987,265101,Annual,2022-03-26
17988,268409,Monthly,2022-03-26
17989,267813,Annual,2022-03-26
17991,265130,Monthly,2022-03-26
17994,268641,Annual,2022-03-26
17997,265196,Monthly,2022-03-27
17999,259504,Annual,2022-03-27
18000,268545,Annual,2022-03-27
18002,268714,Annual,2022-03-27
18003,268715,Annual,2022-03-27
18005,265250,Monthly,2022-03-27
18006,265110,Monthly,2022-03-27
18007,259533,Annual,2022-03-27
18008,268742,Annual,2022-03-28
18009,268736,Annual,2022-03-28
18010,258930,Annual,2022-03-28
18031,261466,Monthly,2022-03-28
18037,268779,Annual,2022-03-28
18038,268764,Annual,2022-03-28
18039,264856,Annual,2022-03-28
18042,261582,Annual,2022-03-28
18043,268647,Annual,2022-03-28
18044,268796,Monthly,2022-03-28
18050,265182,Monthly,2022-03-28
18052,268827,Annual,2022-03-28
18053,268830,Annual,2022-03-28
18056,268768,Annual,2022-03-29
18058,268866,Annual,2022-03-29
18060,268718,Annual,2022-03-29
18061,268876,Annual,2022-03-29
18062,260356,Annual,2022-03-29
18063,268643,Annual,2022-03-29
18064,268877,Annual,2022-03-29
18067,268800,Annual,2022-03-29
18068,267812,Annual,2022-03-29
18069,262044,Annual,2022-03-29
18072,268897,Annual,2022-03-29
18074,268903,Annual,2022-03-29
18079,261200,Annual,2022-03-29
18080,265927,Annual,2022-03-29
18081,264368,Annual,2022-03-29
18082,268915,Annual,2022-03-29
18084,268923,Annual,2022-03-29
18085,268732,Annual,2022-03-30
18086,268892,Annual,2022-03-30
18087,268926,Annual,2022-03-30
18088,268792,Annual,2022-03-30
18089,268935,Annual,2022-03-30
18090,263453,Annual,2022-03-30
18091,268940,Annual,2022-03-30
18092,262112,Annual,2022-03-30
18097,268287,Annual,2022-03-30
18098,268962,Annual,2022-03-30
18100,263008,Annual,2022-03-30
18104,268990,Annual,2022-03-30
18105,260964,Annual,2022-03-30
18107,268989,Annual,2022-03-30
18108,268817,Annual,2022-03-30
18109,262386,Annual,2022-03-30
18112,269000,Annual,2022-03-30
18113,267936,Annual,2022-03-30
18116,262580,Annual,2022-03-30
18117,268922,Annual,2022-03-30
18118,269012,Annual,2022-03-30
18120,269010,Annual,2022-03-30
18121,268978,Annual,2022-03-30
18122,269016,Annual,2022-03-30
18125,267959,Annual,2022-03-30
18126,269020,Annual,2022-03-30
18128,269024,Annual,2022-03-30
18130,269027,Annual,2022-03-30
18133,269038,Annual,2022-03-30
18134,269040,Annual,2022-03-30
18136,269046,Annual,2022-03-30
18137,269047,Monthly,2022-03-30
18138,268618,Annual,2022-03-30
18142,268516,Annual,2022-03-30
18143,269050,Annual,2022-03-30
18145,269030,Annual,2022-03-30
18148,269036,Annual,2022-03-31
18150,261104,Annual,2022-03-31
18152,269053,Annual,2022-03-31
18153,268908,Annual,2022-03-31
18156,269054,Annual,2022-03-31
18158,258956,Monthly,2022-03-31
18161,269056,Annual,2022-03-31
18165,263252,Annual,2022-03-31
